Date,Location,Total_lesp,Alive_lesp,Dead_lesp,Lat,Long,Source,Notes
09-10-2019,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-10-2019,,0,0,0,,,CPAWS Data,
09-10-2020,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-10-2020,,0,0,0,,,CPAWS Data,
09-10-2021,Bay de Verde,10,2,8,48.08282,-52.89864,Bay de Verde Data,
09-10-2021,St. John's - Empire Ave. Old Pennywell intersection,1,0,1,47.555584,-52.744964,CPAWS Data,
09-10-2022,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-10-2023,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-10-2024,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-11-2019,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-11-2019,,0,0,0,,,CPAWS Data,
09-11-2020,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-11-2020,,0,0,0,,,CPAWS Data,
09-11-2021,Bay de Verde,3,3,0,48.08282,-52.89864,Bay de Verde Data,
09-11-2021,CBS,1,1,0,47.519259,-52.955366,CPAWS Data,
09-11-2021,St. John's - Paul Reynolds Community Center ,1,0,1,47.602906,-52.709003,CPAWS Data,
09-11-2021,liquor store mount pearl ,1,1,0,47.51125,-52.8266,CPAWS Data,
09-11-2021,Mount Pearl by ball field ,1,0,1,47.51694,-52.7966,CPAWS Data,
09-11-2021,Paradise ,1,0,1,47.52556,-52.8889,CPAWS Data,
09-11-2021,St.John's - Taxation Centre    ,1,1,0,47.56031,-52.7331,CPAWS Data,
09-11-2021,Stavanger Drive ,1,1,0,47.61461,-52.7107,CPAWS Data,
09-11-2021,Torbay Juniper Ridge ,1,1,0,47.6675,-52.7359,CPAWS Data,
09-11-2022,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-11-2023,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-11-2024,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-12-2019,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-12-2019,,0,0,0,,,CPAWS Data,
09-12-2020,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-12-2020,,0,0,0,,,CPAWS Data,
09-12-2021,Bay de Verde,3,3,0,48.08282,-52.89864,Bay de Verde Data,
09-12-2021,CBS - Community Garden,1,0,1,47.484189,-53.014524,CPAWS Data,
09-12-2021,CBS   Topsail pond ,1,1,0,47.5235,-52.9061,CPAWS Data,
09-12-2021,St. John's - Downtown - Water street,1,1,0,47.56081,-52.7108,CPAWS Data,
09-12-2021,Booth Memorial school ,1,0,1,47.56325,-52.7261,CPAWS Data,
09-12-2021,Paradise/ st thomas line,1,1,0,47.55861,-52.8917,CPAWS Data,
09-12-2022,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-12-2023,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-12-2024,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-13-2019,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-13-2019,,0,0,0,,,CPAWS Data,
09-13-2020,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-13-2020,,0,0,0,,,CPAWS Data,
09-13-2021,Bay de Verde,1,1,0,48.08282,-52.89864,Bay de Verde Data,
09-13-2021,St. John's - Mary queen of Peace school ,1,1,0,47.58975,-52.7131,CPAWS Data,
09-13-2021,St. John's - East end - Virginia Place ,1,1,0,47.59447,-52.6914,CPAWS Data,
09-13-2021,Stavanger Drive ,1,0,1,47.61461,-52.7107,CPAWS Data,
09-13-2021,Flatrock  rec centre ,1,0,1,47.70044,-52.7123,CPAWS Data,
09-13-2022,Bay de Verde,,,,48.08282,-52.89864,Bay de Verde Data,
09-13-2023,Bay de Verde,2,2,0,48.08282,-52.89864,Bay de Verde Data,
09-13-2024,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-14-2019,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-14-2019,,0,0,0,,,CPAWS Data,
09-14-2020,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-14-2020,,0,0,0,,,CPAWS Data,
09-14-2021,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-14-2022,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-14-2023,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
09-14-2024,Bay de Verde,0,0,0,48.08282,-52.89864,Bay de Verde Data,
