ID,Name,N_rows,Date,Time,Record_identifier,System_status,Latitude,Longitude,Max_sustained_winds,Min_pressure,NE_wind_34,SE_wind_34,SW_wind_34,NW_wind_34,NE_wind_50,SE_wind_50,SW_wind_50,NW_wind_50,NE_wind_64,SE_wind_64,SW_wind_64,NW_wind_64,Max_wind_radius,,
,,,AL051866,UNNAMED,12,,,,,,,,,,,,,,,,,,,,
,,,18660922,0,,HU,40.0N,62.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660922,600,,HU,41.0N,61.7W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660922,1200,,HU,42.0N,60.9W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660922,1800,,HU,43.0N,60.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,0,,HU,44.0N,59.3W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,600,,HU,45.0N,58.6W,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,1200,,HU,46.0N,57.8W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660923,1800,,HU,47.0N,57.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,0,,TS,48.3N,55.9W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,600,,TS,49.5N,55.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,1200,,EX,51.0N,54.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18660924,1800,,EX,52.5N,52.8W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,AL021873,UNNAMED,64,,,,,,,,,,,,,,,,,,,,
,,,18730813,0,,TS,13.9N,25.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730813,600,,TS,14.0N,26.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730813,1200,,TS,14.0N,27.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730813,1800,,TS,14.1N,28.1W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,0,,TS,14.1N,29.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,600,,TS,14.2N,30.6W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,1200,,TS,14.3N,32.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730814,1800,,TS,14.4N,33.0W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,0,,TS,14.5N,34.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,600,,TS,14.5N,35.9W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,1200,,TS,14.5N,37.3W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730815,1800,,TS,14.6N,38.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,0,,TS,14.7N,39.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,600,,TS,14.8N,41.2W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,1200,,TS,15.0N,42.7W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730816,1800,,TS,15.3N,44.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730817,0,,HU,15.6N,45.5W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
,,,18730817,600,,HU,16.0N,47.0W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,
